row_id,content,theme,sentiment_word,sentiment_anls
1,差差差，不好用,NULL;,不好用;,-1;
2,慢，服务差差差差非常差,NULL;服务;,慢;差;,-1;-1;
3,一般般，反正小米手机总会有些小毛病，才用了一个月已经死机死的不行了,NULL;NULL;,一般般;不行了;,0;0;
4,其他都是塑封，只有这款是套了个塑料袋,,,
5,有关初始化顺序的地方，居然把（静态）代码块的初始化顺序搞错了，这是很严重的问题 代码块并不是“插入”构造方法执行的，而是和变量有着同等优先级，从上往下的顺序初始化 正确的顺序是 静态变量（代码块）->非静态变量（代码块）->构造方法 由父类向子类的顺序初始化，相同优先级的按从上往下的顺序初始化,问题;NULL;,严重;正确;,-1;1;
6,发货很快，还送了赠品。但是这个眼膜设计的不够好吧，把最眼尾的地方覆盖不住，不会回购。,发货;设计;,很快;不够好;,1;-1;
7,不行！后盖都磨花了,NULL;,不行;,-1;
8,没有指环扣,,,
9,东西好少.失望死了！给我姐也定了，她收到说还没她邻居5块钱的多呢,东西;NULL;,好少;失望;,-1;-1;
10,在用，感觉还行吧。就是分量很少,感觉;分量;,还行;很少;,1;1;
11,一直都使用这个牌子，对头发柔顺，不知升级后的如何，使用后再评价,头发;,柔顺;,1;
12,包装太烂了，破塑料和皮筋包的，还破了几个地方，这价位买的产品，合适吗？,包装;NULL;NULL;塑料;,烂;合适;破;破;,-1;1;-1;-1;
13,***太大了，买到手两天，******价格如图示，如果虚假，人格***。,NULL;,虚假;,-1;
14,感觉不是特别好，镜片有点模糊，夹在手机上固定性不是很好。,感觉;镜片;固定性;,不是好;模糊;不是很好;,-1;-1;-1;
15,还可以，下次可以尝试一下。,NULL;NULL;,可以;还可以;,1;1;
16,才用了十天就没了，而且防晒效果特别不好。,防晒效果;,不好;,-1;
17,描述倒是完全一致。只是这磨砂的创意。。真的是不敢恭维啊，好好的圆润柔滑的手机，被磨砂虐成渣渣。。打死以后不买磨砂材料。,NULL;NULL;手机;NULL;NULL;,渣渣;不敢恭维;柔滑;圆润;好;,-1;-1;1;1;1;
18,做工粗糙了些，凑凑活活，试戴了一下还比较暖和，主要是羊绒品质差，不如我多年前买的空军皮毛一体手套，被小偷偷了。,做工;NULL;品质;,粗糙;暖和;差;,-1;1;-1;
19,蓝牙版本的beats有缺陷的，一旦你连接好几个设备，beats耳机的蓝牙就会失灵（灯都不亮）。应该是设计缺陷。我觉得买家要三思。,蓝牙;灯;设计;版本;,失灵;不亮;缺陷;缺陷;,-1;-1;1;1;
20,是正品     跑了15万   运行还快     好评,NULL;运行;NULL;,正品;快;好评;,1;1;1;
21,原本已经是用了一系列产品的，都算好用，此次重新买来送父母，结果第一次拆开包装里面没有螺丝套件，反馈之后，商家重发了，等了几天收到了，准备再去装，妈蛋！！！居然少了个四方螺母（图二）！！！也就将就着用了，不想再找了&hellip;&hellip;东西质量可以，配套包装零分&hellip;&hellip;果断零分～,NULL;包装;质量;NULL;NULL;,将就;零分;可以;零分;好用;,-1;-1;1;-1;1;
22,试用了好几天，冰箱还可以，价格实惠，比实体店便宜，非常物超所值！,NULL;冰箱;价格;实体店;,物超所值;还可以;实惠;便宜;,1;1;1;1;
23,一般。,NULL;,一般;,0;
24,本来是五星的，店家找的快递太恶心！产品很OK！,快递;产品;NULL;,恶心;ok;本来五星;,-1;1;-1;
25,味道很清新，很清爽还不错。,NULL;NULL;味道;,不错;清爽;清新;,1;1;1;
26,很一搬，味道刺鼻，又脱不下来，用之前和用之后也没什么区别,味道;,刺鼻;,-1;
27,这么和3ML的试用装不一样？3ML的试用装明显浓一点！！！！！！！！！好怕是假货！！！！！！,NULL;NULL;NULL;,假货;明显;好;,-1;0;1;
28,假货！！！第一次在亚马逊买东西这么愤怒！！！亚马逊的东西也不是真的！！！大家以后购买要留心了！！！压嘴的形状和专柜的都不一样，里面的洗发水稀稀的，洗了一次头，头皮发痒，这东西真不能用！,NULL;头皮;东西;,假货;发痒;愤怒;,-1;-1;-1;
29,声音严重失真  耳麦接上完全不能用  全是电流音  人家10块钱的转换器都比这好  完全没有任何一点好处  希望大家谨慎购买  另外说下电脑主机6500  耳麦是铁三角的 都是新买没几天的 出现电流麦完全是转化器的问题  已经在实体店买了转换器回来  用了完全没有任何杂音  想不到京东自营的也这么垃圾  一星是给快递小哥的  真心一星都不想给,京东自营;NULL;购买;声音;NULL;,垃圾;失真;谨慎;严重;好;,-1;-1;0;-1;1;
30,一般，没有想象得好。,NULL;NULL;,一般;没有好;,0;-1;
31,不知道，还没见过，给老妈买的，听她说没想象的大！,,,
32,垃圾没用没用没用没用,NULL;,垃圾;,-1;
33,好用，入坑了，早知道多买一点了,NULL;NULL;,坑;好用;,-1;1;
34,首先，有些零件甚至没有装上，是我自己用胶条贴上的。 其次，桌子太窄。,,,
35,很流畅，好用,NULL;NULL;,流畅;好用;,1;1;
36,失望，装热水后有味道，不敢给宝宝用，只能闲置，早知道买别的,NULL;,失望;,-1;
37,很满意，质量不错，外观也很好，,质量;外观;NULL;,不错;很好;满意;,1;1;1;
38,摄像头孔是歪的，两边松的一比，下边还套不紧，什么破逼玩意。,NULL;,破;,-1;
39,优惠时下的单，相当实惠，货物质量非常好，是我想要的东西。,NULL;质量;,实惠;好;,1;1;
40,通话质量不好 有杂音,通话质量;NULL;,不好;有杂音;,-1;-1;
41,单位买的，一直用这个牌子，还行吧,NULL;,还行;,1;
42,看评论，这货卖过73块多的价格，现在119！ 多花40多，不爽！ 贴了三次了，没有大家说的酸牙感，几乎没什么感觉。 流口水是正常现象嘛，嘴里有东西，自然会流口水。 贴完揭下来后，牙上都粘着一层黏糊糊的啫喱，弄不掉。 对美白效果，暂时没看出来，继续使用继续观察吧。 倒啊有一次，刷完牙之后贴，牙龈立马白了，有点刺痛。,NULL;NULL;NULL;NULL;NULL;,刺痛;不爽;正常;自然;黏糊糊;,-1;-1;1;1;-1;
43,尺码L比国内XL还要大 初次下水掉色严重 不建议购买 穿着不是很舒服,穿着;掉色;,不是舒服;严重;,-1;-1;
44,超级好用的煮蛋器 满分 老妈用着很满意,煮蛋器;用着;NULL;,好用;满意;满分;,1;1;1;
45,性价比略低，这个价不值,价;,不值;,-1;
46,做工简单，还有上面的盖板很补平整。补值这个钱,做工;NULL;,简单;平整;,1;1;
47,很满意。物流很快就给送来了。花了72装了个龙头。已经开始用了，省水！,物流;NULL;,很快;满意;,1;1;
48,送货很快，但里面的配件有错，还少，所以退货了。,配件;送货;,有错;很快;,-1;1;
49,感觉很遗憾：1、本以为是大结局的，结果没想到后面还罗利罗嗦的一大堆，并且远没有像之前说的在第七集把答案全部揭晓2、故事从第5集开始，确实是呈下降趋势，感觉总提不起劲了3、作者想象力丰富，让读者会有去亲身寻找香巴拉的感觉，很向往，而且看了阿凡达之后，总感觉阿凡达的世界，好像香巴拉的世界， 有怪兽，有土著，有感情。,作者;感觉;,丰富;遗憾;,1;-1;
50,之前一直想买来着，不过原价太贵了，刚好看到有活动就行动了，才试用了一片，用后的第二天感觉牙齿变得很酸，就像刚洗完牙一样，第三天就基本没什么感觉了，刚开始用，看不出什么美白效果，可能要用段时间才会出来吧，回头追加吧。,NULL;原价;美白效果;,刚好;太贵;看不出;,1;-1;-1;
51,儿子很喜欢，天天嚷着讲故事,NULL;,喜欢;,1;
52,噪音略大，初次用略有不适，适应看看。,NULL;噪音;,不适;略大;,-1;0;
53,是否意味着在这两位领导人和各界朋友携手走过,,,
54,穿上很轻便，比较舒服。 价格合适吧,价格;穿上;NULL;,合适;很轻;舒服;,1;1;1;
55,很不错的宝贝,宝贝;,不错;,1;
56,是正版书，但是包装太烂 书角全坏了 这种商家迟早倒闭,包装;书;,烂;坏;,-1;-1;
57,有渗漏，有点失望。。。,NULL;,失望;,-1;
