row_id,content,theme,sentiment_word,sentiment_anls
1,没有贝亲的好没有贝亲的好,,好;,1;
2,还可以，不够耐用而已，还可以吧,,还可以;耐用;还可以;,1;1;1;
3,一打开就立刻关闭，完全用不了,,,
4,一半的，和妮维雅的差不多，但是香香的，女孩子用蛮好的。,,差不多;蛮好;,0;1;
5,试用了一下效果不错，京东物流也给力,效果;物流;,不错;给力;,1;1;
6,看的别人说水杯漏水，我以为只是个例，照样毫不犹豫的买了，收到之后发现真的漏水、漏水、漏水,,,
7,注水碗很好用，尤其是冬天，宝宝吃饭时间久了，加入热水保温效果好,碗;效果;,很好;久;好;,1;0;1;
8,东西不错，送货速度也很快,东西;送货速度;,不错;很快;,1;1;
9,还不错 挺好的 价格实惠<br/>,价格;,不错;挺好;实惠;,1;1;1;
10,风扇太小了，那能有多大的风,,,
11,款式是好看但掉色得严重领口也偏小了点,款式;掉色;,严重;小了点;,-1;-1;
12,虽然手镯有点小瑕疵，但总体来说还是满意的,总体;,瑕疵;满意;,-1;1;
13,太重了，不是说明提示的重量，想着带出去不方便，还是退了，退货是很顺利的,,太重;不方便;顺利;,-1;-1;1;
14,黄瓜不是图片上的品种，只发芽了四棵,,,
15,料子不好，不值这个钱。料子看不出来。,料子;料子;,不好;不值;,-1;-1;
16,oooo,,,
17,这次味道感觉不对,感觉;,不对;,-1;
18,本来还以为有点大的 结果好小啊 要是一两个人还蛮适合的 本来想退 结果运费还是自己的 昏,结果;,好;适合;,1;1;
19,裤子还是挺不错的。就是不是一体的。,裤子;,,
20,拿到手粉嫩粉嫩的，比图片的亮很多。。。个人觉得很low。。。是7.3G没错。。。还好吧。。。,手;觉得;,粉嫩;粉嫩;很多;low;还好;,1;1;1;-1;1;
21,一般般吧，没简介说的那么好，和香体乳一起买的，闻起来味道有点怪,,一般般;好;,0;1;
22,女儿超喜欢的，谢谢老板快递员,,喜欢;,1;
23,此移动电源让我极其失望，两个输出口2A、打客服小姑娘不懂，说好有技术人员来电话解释，压根没人理、而且用了几次就不能充电，充一整宿只能充35%，上当受骗，其他顾客千万不要买了、特意提醒大家,,失望;,-1;
24,是那种短款的，量大的mm慎选。,,,
25,是购买了莱恩布.玛斯的孕妇瑜伽和日出日落瑜伽觉得非常棒才又买的这四个碟，但感觉比较失望。不论是配音还是解说动作都觉得不如其他的。并且还是感觉多人练习的情境比较棒啊。,觉得;感觉;,棒;失望;棒;,1;-1;1;
26,品质好，性价比高，推荐,品质;性价比;,好;高;推荐;,1;1;1;
27,定位太不准，没有想象的那么好用，垃圾,定位;,不准;好用;垃圾;,-1;1;-1;
28,挺好的，实物和图片差不多,图片;,挺好;差不多;,1;0;
29,给老婆买的，她很喜欢，非常满意,,喜欢;满意;,1;1;
30,怎么只有只有过滤片，没有口罩啊。。。,口罩;,,
31,一般吧，感觉皮不怎么好，买回来看到这样感觉买贵了，还是给中评吧,皮;,一般;不怎么好;贵;,0;-1;-1;
